Location,Latitude,Longitude,Rating,Description
"Ferry Building, 1 Ferry Building, San Francisco, CA 94111",37.7967868,-122.3932987,6,"Motion rapid, lasted about 10 seconds. Felt by all and frightened many on third floor (active; standing). Windows and doors rattled; building creaked. Ferry building clock stopped. Small objects and furnishings shifted. Plaster cracked. Few dishes broke. Damage slight. Ground: 120 feet bay mud."
"Ferry Building, 1 Ferry Building, San Francisco, CA 94111",37.7967868,-122.3932987,6,"Motion rapid, lasted about 8 seconds. Direction N. Felt by all in building. Windows and doors rattled severely; building creaked severely. Hanging objects swung N. Small objects overturned. Plaster cracked. Damage slight to plaster. Ground: Pier over fill."
"Berry St between 3rd and 4th St, San Francisco, CA 94158",37.7749022,-122.3944837,6,"Motion rapid, lasted 20 seconds. Direction E-W. Felt by and frightened all. Just stopped my car, which rocked with a rolling motion. Freight cars on spur tracks moved. No visible damage at this site."
"675 Post St, San Francisco, CA 94109",37.7874764,-122.4127321,6,Large plate glass window broke.
"651 Brannan St, San Francisco, CA 94107",37.7754369,-122.3996287,6,Plate glass windows broke.
"Merchandise Mart, 1355 Market St, San Francisco, CA 94103",37.7769805,-122.4164001,6,Considerable minor pounding damage on every floor where original building joins annex.
"St. Francis Hospital, 900 Hyde St, San Francisco, CA 94109",37.7895567,-122.416863,6,"Plaster cracked considerably. Small objects shifted. Ground: Soil, level."
"Mills Tower, 220 Bush St, San Francisco, CA 94104",37.7912944,-122.401906,6,"Motion slow, rolling, N-S, lasted 30 seconds. Loud noise like heavy thunder heard at beginning of shock. Felt by all in office building; frightened all in community. Windows, doors, and partitions rattled. Hanging objects swung N. Small objects shifted. Plaster, walls, and ceiling cracked; plaster fell. Damage slight to plaster. Two girls hysterical; several persons nauseated. Ground: Compact, level."
"Sansome St and Pine St, San Francisco, CA 94104",37.7921209,-122.4009676,6,"Motion slow, N-S, lasted 30 seconds. Felt by all in office building; outdoors by others (active); frightened all in community. Windows and doors rattled. Hanging objects swung. Small objects shifted. Some persons become nauseated. Ground: Compact, level."
"Merchants Exchange Building, 465 California St, San Francisco, CA 94104",37.7927819,-122.402205,6,"Motion rapid, lasted 15 seconds. Felt by and frightened all. Windows and doors rattled; walls creaked. Plaster cracked. Damage slight. Ground: Rocky, filled in."
"465 California St, San Francisco, CA 94104",37.7927969,-122.4022626,6,"Motion rapid, lasted about 35 seconds. Felt by all in reinforced-concrete building; frightened few. Prolonged rattling of windows and doors; prolonged creaking of building. Plaster cracked. Ground: Rocky."
"Commercial Club, 465 California St, San Francisco, CA 94104",37.7927969,-122.4022626,6,Direction NE. Felt by and frightened all. Windows rattled. Small objects shifted. Ground: Level.
"465 California St, San Francisco, CA 94104",37.7927969,-122.4022626,5,"Direction E-W. Felt by all on 10th floor; by others outdoors (active); frightened many in community. Building rattled. Ground: Level, filled in."
"Post St and Grant Ave, San Francisco, CA 94108",37.7887007,-122.405256,6,"Some debris from ledges, etc. Windows shook violently."
"Franklin Hospital, 14th St and Noe St, San Francisco, CA 94114",37.7674,-122.43356,6,"Motion sharp, lasted about 30 seconds. Earth noises heard by many. Felt by and frightened all. Windows, doors, and dishes rattled; building creaked. Small objects and furnishings shifted. Plaster cracked and fell. Damage slight."
"Stonestown Emporium, Stonestown Galleria, San Francisco, CA 94132",37.7280313,-122.477088,6,Settlement of sidewalk. Plaster cracked.
"360 Buckingham Way, Stonestown, San Francisco, CA 94132",37.7277453,-122.4793517,6,"Dishes and windows broke. Plaster cracked. Refrigerator and range twisted. Damage considerable to china, glassware, mirrors, etc. Ground: Sloping."
"255 Buckingham Way, Stonestown, San Francisco, CA 94132",37.7263653,-122.4801716,6,"Dishes, windows, and furniture broke. Plaster cracked. Damage considerable to lamps, pictures, dishes, glass, and furniture. Ground: Level, filled in."
"Stonestown Market, Stonestown Galleria, San Francisco, CA 94132",37.7280313,-122.477088,6,"Dishes and windows broke. Plaster, windows, and walls cracked. Deep crack in entire ceiling. Damage considerable to concrete. Ground: Sandy soil, level."
"85 Buckingham Way, Stonestown, San Francisco, CA 94132",37.7255589,-122.4769528,6,Small objects shifted. Dresser mirror broke. Plaster cracked. Damage slight. Ground: Filled in.
"Prudential Life, Stonestown, San Francisco, CA 94132",37.7269808,-122.4751349,6,"Safe and other large objects shifted. Plaster cracked. Damage slight to plaster. Ground: Soil, compact, level."
"100 Font Blvd, Apt. 11-L, Parkmerced, San Francisco, CA 94132",37.7153227,-122.4726839,6,"Dressers shifted. Dishes broke. Walls cracked. Ground: Filled in, sloping."
"22 Fuente Ave, Parkmerced, San Francisco, CA 94132",37.7191552,-122.4782794,6,"Furnishings shifted. Dishes broke. Plaster and walls cracked. Damage slight to concrete. Ground: Sandy, level and sloping; filled in."
"Parkmerced Towers, 3711 19th Ave, San Francisco, CA 94132",37.7205747,-122.4758473,6,"Furnishings shifted. Plaster cracked. Damage slight. Ground: Soil, compact, sloping."
"405 Serrano Dr, Parkmerced Tower Apartments, San Francisco, CA 94132",37.7189372,-122.4820007,6,"Glassware, pictures, etc., shifted. Dishes broke. Plaster cracked. Damage slight. Ground: Probably soil, level."
"131 Bucareli Dr, Parkmerced, San Francisco, CA 94132",37.7160664,-122.4810023,6,"Small objects shifted. Plaster cracked. Damage slight. Ground: Soil, compact, level."
"Parkmerced, 3711 19th Ave, San Francisco, CA 94132",37.7205747,-122.4758473,6,Small objects and furnishings shifted. Plaster and walls cracked. Damage slight.
"120 Serrano Dr, Parkmerced, San Francisco, CA 94132",37.7202324,-122.4776047,6,"Small objects shifted. Plaster cracked. Damage very slight. Ground: Compact, level."
"634 45th Ave, San Francisco, CA 94121",37.7764358,-122.5057663,6,"Motion rapid. Motion N-S and up and down. Felt by and awakened observer on first floor of weakly built wooden house. Windows, doors, and dishes rattled; house creaked. Hanging objects swung. Small objects shifted; vases overturned; knickknacks fell. Dishes and one vase broke. Damage slight. Dog terrified. Ground: Sandy, steep."
"87 Niagara Ave, San Francisco, CA 94112",37.7166601,-122.4433233,6,Two-story wooden back stairs collapsed.
"345 Randolph St, San Francisco, CA 94132",37.7141525,-122.4659856,6,Large amount of canned goods fell in store.
"1386 31st Ave, San Francisco, CA 94122",37.7614638,-122.4896875,6,"Motion rapid. Felt by and frightened all. Windows, doors, and dishes rattled; house creaked. Small objects and furnishings shifted; vases and small objects overturned; knickknacks, books, and pictures fell. Ground: Compact."
"1910 Baker St, San Francisco, CA 94115",37.789022,-122.4437847,6,"Motion rapid, lasted about 30 seconds. Moderate earth noises heard. Small objects shifted. One dish broke. Small amount of plaster cracked. Ground: Sandy."
"1177 Valencia St, San Francisco, CA 94110",37.7541541,-122.4205979,6,"Motion rapid, lasted 30 seconds. Loud earth noises heard at beginning of shock. Felt by and frightened all in home. Windows and doors rattled. Hanging objects swung. Small objects overturned. Plaster and walls cracked. Pictures fell. Damage slight. Motion was like a spinning top, twisting and jarring, then aftershocks."
"Broadway and Octavia St, San Francisco, CA 94109",37.7951219,-122.4283738,6,"Motion rapid, lasted 1 minute. Felt by and frightened all in home. Windows, doors, and dishes rattled; frame creaked. Doors swung. Small objects shifted and overturned. Pictures fell. Cracked plaster, and panel off of baseboards, which were distorted. Ground: Soil, sloping."
"179 15th Ave, San Francisco, CA 94118",37.7847804,-122.4745207,6,"Front terrazzo stairs separated from stucco buttresses on side. Iron drainpipe on side of house bent and knocked loose from house. Ground: Soil, level."
"678 11th Ave, San Francisco, CA 94118",37.7755546,-122.4690813,6,"Windows, doors, and dishes rattled. Hanging objects swung E-W. Pendulum clock facing N stopped. Trees, bushes shaken strongly. Small objects and furnishings shifted; vases, etc., small objects overturned. Plaster cracked and fell. Found minor damage at home. Floor lamps knocked over; cracks in plaster; small knickknacks broken; clock moved on mantel."
"3233 Jackson St, San Francisco, CA 94118",37.7905248,-122.4481194,6,"Motion rapid. Felt by all in home. Moderate earth noises heard. Windows rattled; walls creaked. Plaster cracked (most cracks old and widened a little). House (part rock and adobe) very well built. Ground: Rocky, soil."
"470 19th Ave, San Francisco, CA 94121",37.7790394,-122.4780583,6,"Motion slow after first jerk, lasted 15-20 seconds. Felt by all; frightened all in home. House creaked so loudly could not have heard earth noises. Windows, doors, and dishes rattled. Hanging objects swung E-W. Small objects shifted; vases and small objects overturned; knickknacks and books fell from inside walls. Dishes broke. Damage slight."
"265 Santa Clara Ave, San Francisco, CA 94127",37.7356252,-122.4660298,6,"Motion slow, lasted 5 seconds. Direction S-N. Loud earth noises from S-N heard by many. Felt by many; frightened many in home. Windows, doors, and dishes rattled; house creaked. Hanging objects swung S-N. Trees, bushes shaken moderately. Small objects and furnishings shifted; small objects overturned. Plaster cracked. Knickknacks, books, pictures, and plaster fell. Slight amount of dish and window breakage. Damage slight. Following shocks seemed to be jolts with no compass directions. Ground: Compact, sloping."
"1870 9th Ave, San Francisco, CA 94122",37.7534233,-122.4654142,6,Arrived home to find ornaments such as vases and knickknacks thrown across the room in a NE direction. Contents of bathroom cabinet fell out and door closed. Phonograph moved 8 inches from wall. Stairwell seemed to have sunk 1/4 inch. Second step down from front door chipped and cement at side of joint broken loose. Some loose plaster bits on stairs and in hall. Damage slight. Building wood-frame; two stories above garage.
"2534 45th Ave, San Francisco, CA 94116",37.7392872,-122.5031493,6,"Motion rapid, lasted 30 seconds. Loud earth noises heard by many 3 seconds before shock. Felt by and frightened all in home. Windows, doors, and dishes rattled; house creaked. Hanging objects swung. Furnishings shifted; vases and small objects overturned. Plaster and walls cracked. Knickknacks, books, pictures, and plaster fell. Dishes broke. Damage slight. Ground: Loose, sandy."
"2218 31st Ave, San Francisco, CA 94116",37.7458149,-122.4885379,6,"Motion jolting, then moderate shaking, lasted 1-2 minutes. Loud earth noises heard. Small objects fell from shelves. Bookcases and T.V. moved. Spring in 400-day clock broke; vases, bottle, and electric light on front porch broke. Ground: Sandy, sloping."
"143 Brunswick St, Crocker-Amazon District, San Francisco, CA 94112",37.7114096,-122.4397781,6,"Motion rapid, eased off, then strong shaking. Moderate earth noises heard. Small objects shifted. Dishes broke. Plaster cracked. Damage considerable. Ground: Compact, sloping."
"1911 Hayes St, San Francisco, CA 94117",37.773603,-122.4479905,6,"Motion rapid, lasted 2 minutes. Direction W. Moderate earth noises from W heard by many. Felt by all; frightened few. Windows rattled; walls creaked. Hanging objects swung W. Small objects and furnishings shifted. Plaster, windows, walls cracked. Knickknacks, books, and plaster fell. Windows broke. Damage considerable. Ground: Rocky, compact, level."
"1856 24th Ave, San Francisco, CA 94122",37.7529212,-122.4815323,6,"Motion slow, lasted few seconds. Direction S-N. Loud earth noises from S-N heard by many. Felt by observer (active) on first floor of strongly built brick building (store); frightened many. Windows rattled. Pendulum clock stopped. All grocery merchandise fell off shelves. Store closed for five hours. Damage about $1,500. Ground: Soil, level."
"2858A 25th St, San Francisco, CA 94110",37.7514693,-122.4075038,6,Vases overturned; knickknacks fell. Plaster and walls cracked. Damage slight.
"1310 29th Ave, Sunset District, San Francisco, CA 94122",37.7628287,-122.4876034,6,"By comparison the homes on the west side of 29th Avenue all had cracked walls, fallen plaster, broken bric-a-brac, and opening of cabinet doors. Also, the stores on Irving Street, south side between 20th and 23rd Avenues, had broken windows, while those on the north escaped damage, although some have equally large windows."
"252 3rd Ave, San Francisco, CA 94118",37.7839435,-122.4610169,6,Small objects and furnishings shifted; dishes broke. Damage considerable to concrete. Ground: Filled in.
"40 De Soto St, San Francisco, CA 94127",37.7223556,-122.466074,6,"Plaster, walls, chimneys cracked. Fireplace shifted 1/3 inch and facing loosened. Damage about $200 to brick, masonry, and plaster. Ground: Soil, compact, sloping."
"2557 Alemany Blvd, San Francisco, CA 94112",37.7147373,-122.4465576,6,"Grand piano shifted. Stair railings broke. Plaster, windows, walls, and chimneys cracked. Garage doors jammed. Damage considerable. Ground: Soil, compact, level."
"1367 Cayuga Ave, San Francisco, CA 94112",37.7181757,-122.4442664,6,"Plaster, walls, and fireplace cracked. Damage considerable. Ground: Filled in."
"1259 Cayuga Ave, San Francisco, CA 94112",37.7190743,-122.4432372,6,"Water draining from cracks in street. Few dishes and figurines broke. Damage slight. Ground: Soil and clay, compact, fairly level."
"103 Crescent Ave, San Francisco, CA 94110",37.7353132,-122.4225365,6,"Walls and stucco cracked considerably. I was working on a building under construction at the 200 block on Pine Street when the strongest shock occurred. It was a rolling N-S motion, lasting about 30 seconds. Whipping motion of flagpoles on the taller buildings nearer Market Street was the most notable effects in that area. Ground: Level, filled in."
"2419 Vallejo St, San Francisco, CA 94123",37.7947782,-122.437125,6,Windows broke. Plaster and chimneys cracked; chimney fell.
"1515 Sloat Blvd, Lakeshore Plaza, San Francisco, CA 94132",37.733913,-122.489317,6,"Windows broke; plaster cracked. Damage considerable. Ground: Loose, level."
"2247 34th Ave, Parkside District, San Francisco, CA 94116",37.7451722,-122.4922438,6,"Brick bulwark cracked; slight plaster cracks. Damage slight. Ground: Loose, level."
"11 Imperial Ave, Upper Marina, San Francisco, CA 94123",37.7997405,-122.4266719,6,Plaster and walls cracked. Damage considerable. Ground: Rocky.
"66 Santa Ana Ave, St. Francis Woods, San Francisco, CA 94127",37.7357831,-122.4683056,6,"Objects shifted, particularly heavy, loose objects. Stone fireplace cracked. Dishes broke. Damage considerable."
"255 Rolph St, San Francisco, CA 94112",37.714084,-122.4373932,6,"Dishes broke. Plaster and walls cracked. Damage considerable to concrete. Ground: Soil, level."
"3292 18th St, San Francisco, CA 94110",37.7620874,-122.41691,6,"Plaster, windows, and walls cracked. Damage considerable. Ground: Filled in."
"426 Castaneda Ave, San Francisco, CA 94116",37.7458331,-122.4664249,6,"Dishes broke. Plaster, walls, and ground cracked. Damage considerable. Ground: Rocky, loose, steep."
"1282 43rd Ave, San Francisco, CA 94122",37.7627979,-122.5026163,6,Dishes and windows broke. Plaster and walls cracked. Damage considerable. Ground: Soil.
"61 Tinian Ct, San Francisco, CA 94130",37.7749295,-122.4194155,6,"Incinerators cracked. Ground: Rocky soil, sloping."
"440 Ellington Ave, San Francisco, CA 94112",37.7118201,-122.4475605,6,Dishes and glassware broke. Plaster and walls cracked in every room of house. Damage considerable.
"151 Head St, San Francisco, CA 94132",37.7098362,-122.4645768,6,"Dishes broke. Plaster and walls cracked. Damage considerable to brick, masonry, and concrete. Ground: Soil, loose, sloping."
"107 Eugenia Ave, San Francisco, CA 94110",37.7416565,-122.4205518,6,Dishes broke. Foundation had 3/8 inch crack; tongue and groove at intersection of floor in bathroom separated; pulled stair tread away from back of steps; moved fence. Damage slight to considerable. Ground: Rocky.
"Safeway Store, 4800 block on Mission St, San Francisco, CA 94112",37.796899,-122.3986159,6,Dishes and windows broke. Plaster and windows cracked. Damage considerable. Ground: Level.
"1251 18th Ave, San Francisco, CA 94122",37.7645254,-122.4763827,6,Dishes broke. Plaster and walls cracked. Damage considerable.
"2135 15th Ave, San Francisco, CA 94116",37.7481192,-122.472,6,"Hot water heater, refrigerator, etc., shifted. Dishes and bric-a-brac broke. Plaster cracked; crack through basement floor and foundation. Water pipe leading into house broke. Damage considerable to concrete. Several shocks felt. Ground: Sloping, steep; on hill."
"United Air Lines Building, SFO, San Francisco, CA 94128",37.6191145,-122.3816274,6,"Plaster cracked. Damage considerable to interior. Ground: Level, filled in."
"12 Mateo St, San Francisco, CA 94103",37.7370721,-122.4299409,6,"Dishes broke. Ceiling and walls of entire house cracked. Damage considerable. Ground: Soil, compact, steep."
"2527 23rd Ave, San Francisco, CA 94116",37.7404009,-122.4801366,6,"Windows broke. Plaster and walls cracked. Damage considerable (about $175). Ground: Soil, compact."
"385 Valdez Ave, San Francisco, CA 94127",37.7334673,-122.4573171,6,Dishes broke which were in a NE-SW line. Plaster and walls cracked. Damage considerable. Ground: Sloping.
"Broad St and Plymouth Ave, San Francisco, CA 94112",37.7133012,-122.4560358,6,Windows broke. Damage considerable. Ground: Level.
"2355 37th Ave, San Francisco, CA 94116",37.7430222,-122.4953027,6,Dishes and bric-a-brac broke. Plaster and walls cracked. Damage considerable to concrete terrazzo steps. Ground: Sand dunes; level.
"112 San Pablo Ave, St. Francis Woods, San Francisco, CA 94127",37.7381361,-122.4626226,6,"Furniture moved. Dishes broke. Many wall and ceiling cracks. Damage considerable. Ground: Soil, sloping."
"2643 38th Ave, San Francisco, CA 94116",37.737593,-122.4960101,6,Dishes broke. Plaster and walls cracked. Damage considerable. Ground: Level.
"95 Brookdale Ave, Sunnydale Housing Unit, San Francisco, CA 94134",37.7120387,-122.4208906,6,"Could see whole structure in a cross-wise wrench and hear cracking sound of concrete giving way. So obvious was unsafeness of concrete that I took child outdoors to clearing, away from any poles, lines, or buildings. Every door, window sill and jamb cracked. Concrete walls cracked. Have felt each aftershock, same line of direction to this room, where I sit and sew a good deal of the time. Damage considerable to concrete. Ground: Rocky, sloping; shelf cut in hill of rock; cement floor on rock bed."
"243 Broad St, San Francisco, CA 94112",37.7129463,-122.4605416,6,"Dishes and windows broke. Plaster, windows, and walls cracked. Damage considerable. Ground: Sandy soil, level."
"255 Ellington Ave, San Francisco, CA 94112",37.7134697,-122.4448771,6,"Refrigerator moved 6 inches; stove moved 2 inches. Dishes broke. Plaster and walls cracked. Water pipe broke. Damage considerable. Ground: Soil, level."
"516 Ellington Ave, San Francisco, CA 94112",37.7109965,-122.4486025,6,"Dishes broke. Plaster and stucco cracked. Damage great to wood, brick, masonry, and concrete. Ground: Soil, level."
"358 Randolph St, San Francisco, CA 94132",37.7144812,-122.4659246,6,"Dishes, windows, and furniture broke. Plaster, windows, and walls cracked. Damage considerable to brick, masonry, and concrete. Ground: Sloping, compact."
"739 Victoria St, San Francisco, CA 94127",37.7239866,-122.4645262,6,"Plaster cracked in almost every room. Two chimney bricks fell. Damage considerable in living room; great number of cracks in plaster. Ground: Compact, sandy, level."
"1489 18th Ave, San Francisco, CA 94122",37.7601536,-122.4760684,6,"Plaster cracked in basement room from ceiling to floor, also smaller cracks in rooms on first floor. Damage slight."
"792 Head St, San Francisco, CA 94132",37.7214189,-122.4642832,6,"Plaster and walls cracked. Chimney fell. Damage considerable to wood and concrete. Ground: Loose, sloping."
"435 Clipper St, San Francisco, CA 94114",37.7486926,-122.4345811,6,"Plaster, walls, foundation, and ground cracked. Damage considerable to concrete. Ground: Soil, sloping."
"61 Westwood Dr, San Francisco, CA 94112",37.7267411,-122.459383,6,"Dishes broke. Plaster cracked. Twisting and fall of chimney. Damage considerable to brick, masonry, and concrete (repairs about $1,700)."
"210 San Benito Way, San Francisco, CA 94127",37.7328235,-122.4672336,6,"Refrigerator shifted. Dishes broke. Plaster and chimney cracked; chimney fell. Damage slight to brick, masonry, and concrete. Ground: Soil."
"181 De Soto St, San Francisco, CA 94127",37.7249392,-122.4655032,6,"Dishes broke. Plaster, walls, and chimney cracked. Damage considerable. Ground: Soil, level."
"446 Brunswick St, San Francisco, CA 94112",37.7108527,-122.4429875,6,Dishes broke. Damage considerable to concrete. Ground: Level.
"811 Head St, Ingleside Terrace, San Francisco, CA 94132",37.7220029,-122.4646742,6,Dishes broke. Plaster cracked. Chimney twisted. Damage considerable. Ground: Level.
"380 Chester St, San Francisco, CA 94114",37.6905961,-122.4557388,6,"The earthquake was very intense, gathering great force with a giant jack hammer effect and with a slithering motion like a car with locked brakes going into a side slide. No warning rumble; rumble heard when shock reached peak shake. Lamps, knickknacks, china, and groceries all spewed out. My heavy oak china cabinet and massive table moved 2-3 inches away from original position; kitchen stove moved 2 inches; furnace in basement moved 2 inches off base and water heater tilted off base. Living room outer wall buckled. Plasterboard cracked throughout house, also outside plaster. Basement floor cracks look like a spider web. Electric wires outside snapped in two. Everything in our home was in a shambles. Constant tremors from 8:38 A.M. on Friday to 12:05 Sunday night, with one small tremor Monday morning. We are located at Junipero and Alemany Blvds. Ground: Soil, compact, slightly sloping."
"6th Ave and Balboa St, San Francisco, CA 94118",37.776985,-122.46409,6,"Dishes, windows, and furniture broke. Plaster and walls cracked. Damage considerable. Ground: Compact, level."
"10 Homewood Terrace, San Francisco, CA 94112",37.7278052,-122.46059,6,Stove and refrigerator shifted. Dishes broke. Plaster cracked all over house outside; chimney cracked. Damage slight to considerable in bathroom between tile. Plaster cracks not wide. Ground: Sloping; filled in one year ago.
"2039 41st Ave, San Francisco, CA 94116",37.7487081,-122.4999756,6,Refrigerator and water heater shifted. Dishes broke. Plaster cracked. Damage considerable to plaster. Ground: Sand dunes.
"2434 26th Ave, San Francisco, CA 94116",37.7420457,-122.4829054,6,"Dishes broke. Plaster torn off wall (about 130 square feet). Ground: Sandy, sloping."
"675 Head St, San Francisco, CA 94132",37.7192668,-122.4646995,6,"Dishes and bottled goods broke. Plaster, walk, retaining wall, and terrazzo steps cracked. Cracks and breakage in stucco front and basement floor. Damage considerable. Ground: Sandy soil, steep."
"2 Genesee St, San Francisco, CA 94112",37.7285387,-122.450948,6,"Dishes and windows broke. Plaster, windows, walls, and chimneys cracked. Damage considerable. Ground: Compact, level."
"1609 26th Ave, San Francisco, CA 94122",37.7573547,-122.4844258,6,"Broke dishes, windows, and furniture. Interior and exterior plaster and walls cracked. Damage considerable to wood, brick, masonry, and concrete. Ground: Soil, level."
"1071 Munich St, San Francisco, CA 94112",37.7109412,-122.4345369,6,"Furnishings shifted 4 inches. Plaster and walls cracked. Sprung overhead garage doors. Damage considerable to concrete. Ground: Soil, sloping."
"704 Junipero Serra Blvd, Lakeside, San Francisco, CA 94132",37.7265214,-122.4726191,6,"Furnishings shifted. Dishes and windows broke. Plaster cracked. Damage considerable. Ground: Soil, level and sloping."
"178 De Soto St, San Francisco, CA 94127",37.7247909,-122.4649866,6,"Dishes broke. Plaster, walls, and steps cracked. Damage considerable (about $200). Ground: Compact, level."
"2125 Lincoln Way, San Francisco, CA 94122",37.7650786,-122.4809323,6,"Furnishings shifted. Dishes broke. Plaster and windows cracked. Damage considerable. Ground: Compact, level."
"46th Ave and Noriega St, San Francisco, CA 94122",37.7529709,-122.5054285,6,"Furnishings shifted. Windows broke. Plaster cracked. Damage considerable. Ground: Loose, level."
"224 Miramar Ave, San Francisco, CA 94112",37.7224403,-122.4579363,6,"Furnishings and stove shifted. Dishes and furniture broke. Plaster, walls, chimney, and fireplace cracked. Damage considerable to terra cotta stairs. Always hear noise before shakes. Ground: Soil, compact, level."
"250 San Benito Way, San Francisco, CA 94127",37.7323669,-122.4671797,6,"Refrigerator and stove shifted. Dishes broke. Plaster and chimney cracked. Plaster cracked both inside and outside of windows. Some cement stucco cracked. Front and back stairs dropped about 1/8 to 1/16 inch. Damage considerable. Ground: Sandy, sloping."
"104 Eagle St, San Francisco, CA 94114",37.7586079,-122.443738,6,"Furnishings shifted. Outside sidings pulled apart. One water pipe twisted and leaked; heat vent pipe cracked. Damage to wood and concrete. Ground: Soil, loose, sloping and steep."
"226 Caselli Ave, San Francisco, CA 94114",37.7596021,-122.4434724,6,"Furnishings shifted. Dishes broke. Plaster, walls, and ground cracked. Damage considerable to concrete. Ground: Filled in."
"2611 San Jose Ave, San Francisco, CA 94112",37.7162872,-122.4499749,6,"The Safeway store is the one from my house going in the direction of Daly City, past the part where railroad crosses street. My 3-year-old daughter and I were at the store when shock occurred. There was a smell of gas. My children said there was the same smell at St. Michael's School. As soon as one smelt the gas it really began to shake. The ground seemed to rise up and down and the most awful roar - something so different from all other sounds - came with this movement. Store seemed to rock and roll several times, then shake very hard. Glass, food, etc., flew. People ran; some panicky. Others, like myself, didn't know if it was an explosion or shock until we went outside. As I ran home I saw other damage. In our apartment one room had no damage, while four others either had large cracks over walls or complete breaks and fallen plaster. Pictures, etc., flew and bathroom was a mess, everything broke. As soon as we went inside the house we felt more movement of the house and ground in the backyard and heard noises and rumbles. This kept on all the rest of the day and night. All we did was come in and run out."
"315 4th Ave, San Francisco, CA 94118",37.7824827,-122.462536,6,"Furnishings shifted. Dishes broke. Plaster cracked in kitchen. Damage considerable. All closed doors opened. Ground: Soil, compact, level."
"2392 28th Ave, San Francisco, CA 94116",37.7428581,-122.4851783,6,"Second floor. Figurines broke. Lamp fell from nightstand. Clothing thrown from closet and shelves. Trim on dressing table broke off and found in middle of floor (nails still in it). Canned goods in storage closet thrown out and dented. Cupboard doors opened, causing glass stemware to fall and break. Kitchen service table pushed to center of room. Stove knob fell off and was found in corner of room. About an 8-inch wall crack over window. Ground: Soil, level."
"686 40th Ave, San Francisco, CA 94121",37.7758688,-122.500348,6,"Furniture moved from walls. Many objects thrown to floor. Juices spilled in refrigerator. I ran out the back way and heard my neighbor two doors away screaming. When I ran out to backyard, I found the earth was moving away from me, like an escalator. It moved so rapidly it made me dizzy and sick. The building kept on creaking for sometime afterwards, as if settling. I believe the tile in the bathroom has settled about 1/32 inch. Ground: Compact, level, sloping."
"332 Clement St, San Francisco, CA 94118",37.7832159,-122.462934,6,Store. Packing stripped loose from plumbing pipes in rear of building. Water ran out in buckets full and went all through the floor and ceiling of room below. Plaster on ceilings and walls loosened by shock and soaked with water.
"352 Arlita Ave, San Francisco, CA 94127",37.714913,-122.4099485,6,Ceiling cracked in two places. Gas line broke in two places. Ground: Solid rock; slight hill.
"1001 Portola Dr, San Francisco, CA 94127",37.7418918,-122.4555922,6,"It was the most terrifying experience of my life. House shook. Cupboards, oven, and refrigerator doors flew open. Knickknacks and pictures fell, some broke. I ran to rear of house. Patio shook; flower pot broke. Ground: Soil, sloping."
"55 Noe St, San Francisco, CA 94114",37.7682788,-122.4331964,6,"The noise of great hammer blows was terrific. Everything rattled and swayed. My unbelieving eyes saw my grand piano dancing a jig - seemed to rise up off the floor. All of the shocks were felt here, including a continued slight trembling on Saturday in p.m. No rolling motion. Mid-forenoon shock on 22nd sounded as if a big truck had crashed into house. Ground: Soil, compact, level."
"380 San Leandro Way, San Francisco, CA 94127",37.7304019,-122.4693534,6,"Dishes broke. Plaster cracked and a small amount fell in each room. Vase and mirror fell and broke. Ground: Soil, level."
"975 Holloway Ave, San Francisco, CA 94112",37.7215024,-122.4641281,6,Heavy refrigerator shifted 2½ inches. Dishes broke. Plaster in nearly all rooms cracked just under ceiling around entire room. Pictures askew. Articles on W-E shelves fell. Ground: Probably soil over rock; bottom of hill.
"737 Anderson St, San Francisco, CA 94110",37.7341645,-122.4155006,6,"Furnishings shifted. Ground: and cement foundation holding fence cracked. Books and radio fell. Damage slight. Ground: Rocky soil, compact, sloping."
"2419 38th Ave, San Francisco, CA 94116",37.741741,-122.4963196,6,"Heavy furnishings shifted. House cracked where joined on south side. Damage slight. Ground: Sandy, level."
"2469 18th Ave, San Francisco, CA 94122",37.741841,-122.474866,6,Two chests shifted. Dishes broke; few fell from open bookcase. One 12-inch plaster crack. Damage very slight to concrete steps.
"430 Edinburgh St, San Francisco, CA 94112",37.7223799,-122.4314392,6,"Small objects and furnishings shifted. Plaster, walls, and chimney cracked. Damage moderate."
"238 Victoria St, San Francisco, CA 94127",37.7150557,-122.4651169,6,Furnishings shifted. Dishes broke. Plaster and walls cracked. Damage slight to wood. Ground: Sloping.
"Moraga St and 22nd Ave, Sunset District, San Francisco, CA 94122",37.7559739,-122.4798547,6,"Small objects and furnishings shifted considerably. Dishes broke. Plaster and walls cracked. Damage considerable to china; some damage to concrete. Ground: Sandy, sloping."
"2055 12th Ave, San Francisco, CA 94116",37.7491914,-122.468581,6,"Plaster cracked; cement foundation cracked. Damage slight. Ground: Soil, level."
"2029 Vicente St, near 30th Ave, San Francisco, CA 94116",37.7385351,-122.4887678,6,"Small objects and furnishings shifted. Few exterior cracks in stucco and patio doors. One 10-inch figurine broke; bottles fell from medicine cabinet and broke. Canvas walls and ceilings prevented damage. Ground: Soil, slightly sloping."
"523 44th Ave, San Francisco, CA 94121",37.7786121,-122.5053827,6,"Few dishes broke. Plaster cracked slightly. Slight damage to base of firewall. Ground: Compact, sloping."
